Time,vcu.INS.pitch_rate
611850490,-0.000352418748661876
611855678,0.000518790329806507
611858008,-0.000364988576620817
611922982,-0.00105080450884998
611935538,0.000451084226369858
611943085,0.00071216793730855
611962951,-0.000236618099734187
611965628,-0.000183709664270282
611972957,0.00070922973100096
611982961,0.00116236857138574
611985535,0.0010162623366341
611990687,-0.000526953488588333
611992965,-0.000332540832459927
612295548,0.000254200771450996
612298204,0.00033559266012162
612300504,0.000306785106658936
612302944,0.00136965967249125
612305540,0.00147493532858789
612311049,0.000315858284011483
612311413,0.00094914308283478
612312957,-0.000150877516716719
612315533,-0.00143943820148706
612318007,-0.000736524350941181
612320502,0.00162033259402961
612322917,0.000701004755683243
612325654,-0.000536574982106686
612328002,-0.00043168943375349
612330518,-0.000395085196942091
612332889,-5.58157917112112E-05
612335616,0.000212403945624828
612338028,0.000359128112904727
612340482,0.00154060148634017
612342973,0.00116938794963062
612345590,0.000219437293708324
612348044,-0.000703495694324374
612350521,-0.00207138084806502
612352993,-0.000662719598039985
612355704,0.00045810523442924
612358053,-0.000197738176211715
612360732,0.000239521032199264
612362967,3.01774125546217E-05
612365600,-0.00100809964351356
612367963,-0.00116962403990328
612370459,-0.000415146350860596
612373033,-2.27452255785465E-06
612375600,0.000633160583674908
612378009,0.000417836243286729
612380480,-0.000445146346464753
612382954,0.000581367523409426
612385583,0.00139149674214423
612388009,0.000842718873172998
612390666,-0.000317208701744676
612392922,-0.000352899311110377
612395600,-0.000610780203714967
612398005,-0.000284757930785418
612400509,0.00114468904212117
612402914,0.000325731234624982
612405641,-0.000949584413319826
612408154,-0.000791708473116159
612410494,-0.00142968632280827
612412916,-0.00179171026684344
612415687,-0.00162617512978613
612418036,-0.00155953923240304
612420537,-0.00141544849611819
612422914,-0.00155307655222714
612425698,-0.000619522528722882
612428004,0.000385571736842394
612430582,-1.98876950889826E-05
612432915,-0.000165543984621763
612435500,0.00028844631742686
612438055,0.000155501067638397
612440455,-0.00106718530878425
612800518,-0.000248756725341082
612802987,0.000258131418377161
612805672,0.000749724102206528
612808078,0.000899700215086341
612810481,0.00136693438980728
612813017,0.000364757608622313
612815706,-0.000834491802379489
612818173,0.00084098381921649
612840517,0.000489072292111814
612842974,0.000300918123684824
612845722,0.000863435561768711
612848005,0.00124518771190196
612850550,7.78865069150925E-06
612862990,0.000779090914875269
612865761,0.000459354370832443
612868004,0.000485626864247024
612880574,0.000400650314986706
612883001,0.000285323709249496
612885768,0.000221170834265649
612887984,0.000540602020919323
612900668,0.000279122963547707
612903040,-0.000220396323129535
612905780,-0.000964224804192781
612911070,-0.00176451471634209
612911349,-0.00182712450623512
612913048,-0.00034457421861589
612915559,-0.000220466637983918
612918007,-0.00120935775339603
612940660,0.00084291014354676
612943089,0.000662829959765077
612945536,-8.92458483576775E-05
612948013,0.00016804737970233
612950665,0.000170951010659337
612957983,-0.000211975770071149
612960666,-0.000708980951458216
612963101,-6.8501103669405E-05
612965604,0.000452300766482949
612967987,0.00044855778105557
612980709,-0.000372537178918719
612983154,-0.00034715561196208
612985622,-0.00106797483749688
612987984,-0.000860729021951556
612990715,-0.000171901658177376
613013234,-0.000137476017698646
613015597,0.000631345203146338
613017980,0.000972020905464888
613020690,-0.000487311976030469
613022904,-0.000394284492358565
613025597,-0.000127299455925822
613027976,5.41359186172485E-05
613030668,0.000709568033926189
613040672,0.000689235050231218
613043277,0.0012903397437185
613045520,0.000531725352630019
613060711,-0.00169727229513228
613062955,1.0381918400526E-05
613065537,0.000206012860871851
613067995,-0.000619093654677272
613080471,-0.000418708426877856
613082933,-0.000590814044699073
613100479,0.000239156186580658
613102922,0.000699166441336274
613105580,0.000468033016659319
613108029,-0.000131645007058978
613117969,0.000452687032520771
613120489,0.00142903905361891
613122924,0.00173812173306942
613125658,-7.94436782598495E-05
613128210,-9.93798021227121E-05
613157977,0.000564155634492636
613160522,0.000250236596912146
613162927,-0.000339837046340108
613165589,-0.000609077513217926
613180471,-6.07036054134369E-05
613182918,-0.000511061400175095
613185580,0.000238500302657485
613187996,0.000737198279239237
613190621,-8.72020609676838E-06
613200536,-0.000684488331899047
613202901,9.20784659683704E-05
613205581,0.000659702927805483
613208029,-7.68119934946299E-05
613210478,-0.00104923476465046
613212953,-0.00148868118412793
613215580,-0.00106301601044834
613217968,-0.000393239082768559
613240487,0.000214976724237204
613242995,0.000268997973762453
613245525,-0.000164714641869068
613247998,-0.00103451777249575
613262916,-0.000781112583354115
613265606,-0.000548669137060642
613268001,-0.000703334109857678
613280469,-0.000817315420135856
613283011,-0.000448517967015505
613285581,-0.000155806541442871
613297985,0.000226907664909959
613300488,7.54385255277157E-05
613310442,-0.00136402668431401
613312942,-0.00117066549137235
613340498,-0.000132510205730796
613342997,-0.00103136827237904
613345588,-0.00112863932736218
613362937,-0.000108296982944012
613365535,0.000217702821828425
613377996,0.000566668342798948
613380445,-0.000820971326902509
613382992,-0.00141326547600329
613400483,-0.00200662086717784
613402927,-0.000959118129685521
613405611,-0.00010984274558723
613410497,-0.00081231351941824
613412963,0.000544925685971975
613415524,0.000819141278043389
613418035,-0.000355919124558568
613420449,-0.00179439759813249
613440469,-0.000296049052849412
613442967,-9.86026134341955E-05
613445530,-6.1611644923687E-05
613448031,0.000407895189709961
613450469,-9.03061591088772E-05
613460692,0.000225494964979589
613462903,-0.000965776620432734
613465522,-0.000139954267069697
613467996,0.000141478725709021
613480468,-8.90651717782021E-05
613482933,-0.000182288931682706
613485600,-0.000846089795231819
613487997,7.84611329436302E-05
613490616,0.000805544666945934
