Time,vcu.INS.pitch
611850490,-1.83257043361664
611855678,-1.83260989189148
611858008,-1.83266532421112
611922982,-1.83405017852783
611935538,-1.83474731445313
611943085,-1.83476090431213
611962951,-1.8355473279953
611965628,-1.83568298816681
611972957,-1.83571743965149
611982961,-1.83510076999664
611985535,-1.8352142572403
611990687,-1.83517670631409
611992965,-1.83516609668732
612295548,-1.83332085609436
612298204,-1.83336400985718
612300504,-1.83254909515381
612302944,-1.83228933811188
612305540,-1.8324419260025
612311049,-1.8327009677887
612311413,-1.83233177661896
612312957,-1.83272552490234
612315533,-1.83349859714508
612318007,-1.83332109451294
612320502,-1.83281242847443
612322917,-1.83289778232574
612325654,-1.83295154571533
612328002,-1.83295154571533
612330518,-1.83348989486694
612332889,-1.8334493637085
612335616,-1.83301985263824
612338028,-1.83293533325195
612340482,-1.83215391635895
612342973,-1.83215391635895
612345590,-1.83220982551575
612348044,-1.83249700069427
612350521,-1.83267283439636
612352993,-1.83255779743195
612355704,-1.83234047889709
612358053,-1.83240985870361
612360732,-1.83226919174194
612362967,-1.83237528800964
612365600,-1.83264982700348
612367963,-1.83282721042633
612370459,-1.83276927471161
612373033,-1.83237385749817
612375600,-1.8322434425354
612378009,-1.83236169815063
612380480,-1.83236360549927
612382954,-1.83219218254089
612385583,-1.83168888092041
612388009,-1.83167195320129
612390666,-1.83163952827454
612392922,-1.83163571357727
612395600,-1.83159649372101
612398005,-1.8314995765686
612400509,-1.83124899864197
612402914,-1.83138573169708
612405641,-1.83141732215881
612408154,-1.83151090145111
612410494,-1.83169186115265
612412916,-1.83188354969025
612415687,-1.83230400085449
612418036,-1.83248007297516
612420537,-1.83258402347565
612422914,-1.83279967308044
612425698,-1.83283162117004
612428004,-1.83275759220123
612430582,-1.83296167850494
612432915,-1.83292770385742
612435500,-1.83284914493561
612438055,-1.83285534381866
612440455,-1.83311760425568
612800518,-1.83365869522095
612802987,-1.83357381820679
612805672,-1.83350872993469
612808078,-1.83338403701782
612810481,-1.83373498916626
612813017,-1.83389711380005
612815706,-1.83442068099976
612818173,-1.83410334587097
612840517,-1.83359813690186
612842974,-1.83360064029694
612845722,-1.83313488960266
612848005,-1.83303010463715
612850550,-1.8327522277832
612862990,-1.8319206237793
612865761,-1.83116447925568
612868004,-1.83113348484039
612880574,-1.82980847358704
612883001,-1.82980847358704
612885768,-1.82962822914124
612887984,-1.8295533657074
612900668,-1.83043920993805
612903040,-1.83043920993805
612905780,-1.83115565776825
612911070,-1.83144700527191
612911349,-1.83185958862305
612913048,-1.83172798156738
612915559,-1.83160579204559
612918007,-1.83175647258759
612940660,-1.8321738243103
612943089,-1.83215892314911
612945536,-1.83216404914856
612948013,-1.83207774162292
612950665,-1.8321133852005
612957983,-1.83247089385986
612960666,-1.8330500125885
612963101,-1.8329039812088
612965604,-1.83308029174805
612967987,-1.83293604850769
612980709,-1.83367621898651
612983154,-1.83383893966675
612985622,-1.83398962020874
612987984,-1.83409142494202
612990715,-1.83401429653168
