Time,vcu.INS.yaw
611850490,34.7981224060059
611855678,34.7988319396973
611858008,34.7986145019531
611922982,34.8050346374512
611935538,34.805736541748
611943085,34.806095123291
611962951,34.806224822998
611965628,34.8059387207031
611972957,34.8052558898926
611982961,34.8042755126953
611985535,34.8037986755371
611990687,34.8028030395508
611992965,34.8028564453125
612295548,34.8070335388184
612298204,34.8071899414063
612300504,34.8083381652832
612302944,34.8083229064941
612305540,34.8095207214355
612311049,34.8100395202637
612311413,34.8095932006836
612312957,34.8100090026855
612315533,34.810604095459
612318007,34.8106536865234
612320502,34.810962677002
612322917,34.8110885620117
612325654,34.8111457824707
612328002,34.8111457824707
612330518,34.8122711181641
612332889,34.8122291564941
612335616,34.8129463195801
612338028,34.8130798339844
612340482,34.8141250610352
612342973,34.8141250610352
612345590,34.8151245117188
612348044,34.8151702880859
612350521,34.8154716491699
612352993,34.8154029846191
612355704,34.8157348632813
612358053,34.8159790039063
612360732,34.8159713745117
612362967,34.8151473999023
612365600,34.814338684082
612367963,34.8144264221191
612370459,34.8142929077148
612373033,34.8139991760254
612375600,34.8137092590332
612378009,34.8139953613281
612380480,34.8140754699707
612382954,34.8140106201172
612385583,34.8139419555664
612388009,34.8141021728516
612390666,34.8140716552734
612392922,34.8139495849609
612395600,34.8136825561523
612398005,34.813549041748
612400509,34.813289642334
612402914,34.8131828308105
612405641,34.8129272460938
612408154,34.8126945495605
612410494,34.8126754760742
612412916,34.8129577636719
612415687,34.8129730224609
612418036,34.8129615783691
612420537,34.813102722168
612422914,34.8130722045898
612425698,34.813533782959
612428004,34.8136520385742
612430582,34.8132743835449
612432915,34.8135375976563
612435500,34.8130264282227
612438055,34.813102722168
612440455,34.8141555786133
612800518,34.8346977233887
612802987,34.8350296020508
612805672,34.8346748352051
612808078,34.8347053527832
612810481,34.8337898254395
612813017,34.833812713623
612815706,34.8326950073242
612818173,34.832706451416
612840517,34.8333625793457
612842974,34.8335266113281
612845722,34.834056854248
612848005,34.834041595459
612850550,34.8345909118652
612862990,34.8360404968262
612865761,34.8363723754883
612868004,34.8364906311035
612880574,34.8374252319336
612883001,34.8374252319336
612885768,34.8374862670898
612887984,34.8374481201172
612900668,34.8379669189453
612903040,34.8379669189453
612905780,34.8385391235352
612911070,34.8386611938477
612911349,34.8392295837402
612913048,34.8392372131348
612915559,34.8398284912109
612918007,34.8399124145508
612940660,34.8419380187988
612943089,34.8421783447266
612945536,34.8418502807617
612948013,34.8418807983398
612950665,34.8419799804688
612957983,34.8404083251953
612960666,34.8398208618164
612963101,34.839958190918
612965604,34.839427947998
612967987,34.8395080566406
612980709,34.8373565673828
612983154,34.8372802734375
612985622,34.8366775512695
612987984,34.8367195129395
612990715,34.8364219665527
613013234,34.8359985351563
613015597,34.8359642028809
613017980,34.8360328674316
613020690,34.8360443115234
613022904,34.8360328674316
613025597,34.8362083435059
613027976,34.8363494873047
613030668,34.8361587524414
613040672,34.8368339538574
613043277,34.8368530273438
613045520,34.8373832702637
613060711,34.8387031555176
613062955,34.838565826416
613065537,34.8389739990234
613067995,34.839168548584
613080471,34.840576171875
613082933,34.840576171875
613100479,34.8429222106934
613102922,34.8429336547852
613105580,34.8438987731934
613108029,34.8440856933594
613117969,34.8453559875488
613120489,34.8457221984863
613122924,34.8454055786133
613125658,34.8456611633301
613128210,34.845573425293
613157977,34.8469924926758
613160522,34.8472099304199
613162927,34.847225189209
613165589,34.847110748291
613180471,34.8461608886719
613182918,34.8462104797363
613185580,34.8460998535156
613187996,34.8460540771484
613190621,34.8450889587402
613200536,34.8439826965332
613202901,34.844051361084
613205581,34.8441963195801
613208029,34.8443565368652
613210478,34.8442153930664
613212953,34.8442764282227
613215580,34.8442306518555
613217968,34.8442306518555
613240487,34.8453025817871
613242995,34.8454093933105
613245525,34.8459930419922
613247998,34.8458709716797
613262916,34.847583770752
613265606,34.847785949707
613268001,34.8480186462402
613280469,34.8505897521973
613283011,34.8509101867676
613285581,34.851619720459
613297985,34.8531303405762
613300488,34.8537826538086
613310442,34.8552284240723
613312942,34.8551826477051
613340498,34.857723236084
613342997,34.8578567504883
613345588,34.8579788208008
613362937,34.8580665588379
613365535,34.8579330444336
613377996,34.8577194213867
613380445,34.8576278686523
613382992,34.8577461242676
613400483,34.856388092041
613402927,34.856388092041
613405611,34.8555946350098
613410497,34.854621887207
613412963,34.8544960021973
613415524,34.8536186218262
613418035,34.8536376953125
613420449,34.8533477783203
613440469,34.8540878295898
613442967,34.8542823791504
613445530,34.8543815612793
613448031,34.8545303344727
613450469,34.8541603088379
613460692,34.8544960021973
613462903,34.8546714782715
613465522,34.854808807373
613467996,34.8547210693359
613480468,34.8562355041504
613482933,34.8561058044434
613485600,34.8561210632324
613487997,34.8562889099121
613490616,34.8566818237305
613502906,34.8581809997559
613505522,34.8589973449707
613508094,34.8590812683105
613510450,34.8589668273926
613512962,34.859691619873
613515523,34.8603477478027
613538105,34.8630790710449
613540478,34.8631744384766
613543001,34.8631744384766
613545582,34.8630180358887
613548035,34.8631401062012
613560542,34.8621292114258
613562907,34.862060546875
613565530,34.8615188598633
613567995,34.8615646362305
613570481,34.8616676330566
613580476,34.8613891601563
613582970,34.8614959716797
613585696,34.8607711791992
613600468,34.8592987060547
613602904,34.8593978881836
613605523,34.8593826293945
613612938,34.8584251403809
613615528,34.8574523925781
613618017,34.8575286865234
613620474,34.8571586608887
613640470,34.8561477661133
613642999,34.8562240600586
613645606,34.8566436767578
613647997,34.8566436767578
613650470,34.8572616577148
613652906,34.8570938110352
613660540,34.8592071533203
613662903,34.8592872619629
613680470,34.863166809082
613682939,34.863166809082
613685543,34.8635139465332
613688178,34.8634948730469
613700478,34.863468170166
613702903,34.8634490966797
613705606,34.8632316589355
613708262,34.8632545471191
613710467,34.863109588623
613712937,34.8631935119629
613715528,34.8629608154297
613740476,34.8630447387695
613742952,34.8630447387695
613745582,34.8631401062012
613762905,34.8612098693848
613765742,34.860107421875
613767974,34.8600845336914
613780475,34.8600883483887
613782945,34.8600692749023
613800471,34.8593940734863
613802905,34.8594017028809
613805525,34.8599319458008
613808102,34.8599090576172
613810469,34.8595085144043
613812905,34.8596229553223
613815578,34.8591270446777
613840496,34.857723236084
613842943,34.8579292297363
613845597,34.8587303161621
613858199,34.8578300476074
613860540,34.8578720092773
613862906,34.8579216003418
613865732,34.8576927185059
613880479,34.8590202331543
613882964,34.8590202331543
613885593,34.8588371276855
613887973,34.8588790893555
613890583,34.8586196899414
613900470,34.8592720031738
613902907,34.8595008850098
613905531,34.859935760498
613912905,34.8604316711426
613940476,34.8642883300781
613943043,34.8640174865723
613945589,34.8649711608887
613957989,34.8643951416016
613960555,34.8636741638184
613962879,34.8636016845703
613980484,34.8616828918457
613982947,34.8617820739746
613985579,34.8618392944336
613997974,34.8632545471191
614000529,34.8636741638184
614002905,34.863956451416
614005533,34.8642692565918
614008103,34.8641128540039
614010545,34.8639831542969
614012933,34.8642768859863
614040466,34.8650321960449
614042968,34.8650207519531
614045533,34.8656425476074
614062927,34.8668365478516
614065534,34.8677597045898
614068181,34.8677062988281
614070447,34.8681602478027
614072996,34.8681907653809
614075579,34.8685989379883
614083017,34.8693351745605
614085538,34.8702163696289
614087975,34.8704795837402
614100470,34.8720283508301
614102908,34.8719596862793
614105587,34.873119354248
614110469,34.8738098144531
614112936,34.8738098144531
614115612,34.8742561340332
614118008,34.874267578125
614140469,34.8769645690918
614143064,34.8769645690918
614145603,34.8766250610352
614162904,34.8757133483887
614165552,34.8754119873047
614167997,34.8756141662598
614180496,34.8734283447266
614182942,34.8733978271484
614185626,34.8731422424316
614187947,34.8733367919922
614197993,34.8724632263184
614200559,34.8717842102051
614202904,34.8719825744629
614205638,34.8711738586426
614207974,34.8711738586426
614210503,34.8711738586426
614212907,34.8712921142578
614215672,34.871208190918
614218139,34.8711891174316
614238197,34.8716583251953
614240504,34.8722076416016
614242956,34.872200012207
614245753,34.8725929260254
614262923,34.8746757507324
614265813,34.8751945495605
614267973,34.8752975463867
614270475,34.8759155273438
614280470,34.8777046203613
614282966,34.877613067627
614285824,34.8786735534668
614300504,34.8803596496582
614302961,34.8803443908691
614305779,34.8811645507813
614308029,34.8810920715332
614310499,34.8815803527832
614313003,34.8817596435547
614315783,34.8823471069336
614317977,34.8823661804199
614340476,34.8845329284668
614358202,34.8851737976074
614360527,34.8852920532227
614362937,34.8845634460449
614365511,34.8848037719727
614368026,34.883918762207
614380467,34.8836860656738
614382910,34.8836860656738
614385798,34.8836669921875
614387997,34.8839378356934
614390627,34.8832359313965
614400537,34.8819808959961
614402931,34.8821296691895
614405809,34.8817672729492
614408174,34.8817520141602
614410471,34.8817749023438
614412954,34.8817291259766
614415577,34.8816604614258
614420726,34.8820877075195
614422904,34.8819465637207
614425578,34.882396697998
614427973,34.8824768066406
614430490,34.8820877075195
614460533,34.883674621582
614462904,34.8838005065918
614465604,34.8846015930176
614467993,34.8846015930176
614470479,34.8847312927246
614480519,34.8843307495117
614482967,34.8845062255859
614503026,34.884635925293
614505526,34.8849983215332
614510470,34.8856010437012
614513067,34.8857002258301
614515581,34.8860359191895
