Time,vcu.INS.vz
611850490,-0.0364990122616291
611855678,-0.0365294814109802
611858008,-0.0365985035896301
611922982,-0.0372953526675701
611935538,-0.0374189764261246
611943085,-0.0374424122273922
611962951,-0.0378222540020943
611965628,-0.0378256887197495
611972957,-0.0380590334534645
611982961,-0.0379299558699131
611985535,-0.0378321632742882
611990687,-0.0378351099789143
611992965,-0.0379024296998978
612295548,-0.0419057570397854
612298204,-0.0419127643108368
612300504,-0.0419068075716496
612302944,-0.0419168099761009
612305540,-0.0418998450040817
612311049,-0.0418800637125969
612311413,-0.0418712086975574
612312957,-0.0418848171830177
612315533,-0.0419064797461033
612318007,-0.0418238788843155
612320502,-0.0418442226946354
612322917,-0.0418428182601929
612325654,-0.0417878478765488
612328002,-0.0418138280510902
612330518,-0.041852243244648
612332889,-0.041857123374939
612335616,-0.0418175421655178
612338028,-0.0416905842721462
612340482,-0.0415860265493393
612342973,-0.0415858738124371
612345590,-0.0415870696306229
612348044,-0.0415485091507435
612350521,-0.0415491387248039
612352993,-0.0415093936026096
612355704,-0.0415705814957619
612358053,-0.0415127575397491
612360732,-0.0416106954216957
612362967,-0.0415550358593464
612365600,-0.0416136905550957
612367963,-0.0416459441184998
612370459,-0.0416921302676201
612373033,-0.0393192805349827
612375600,-0.0393825843930244
612378009,-0.0394703969359398
612380480,-0.0395044162869453
612382954,-0.0394751355051994
612385583,-0.0394616723060608
612388009,-0.0395265966653824
612390666,-0.0394564941525459
612392922,-0.0393965281546116
612395600,-0.0394388064742088
612398005,-0.0395743623375893
612400509,-0.0396690592169762
612402914,-0.0397471003234386
612405641,-0.0398352034389973
612408154,-0.0398805029690266
612410494,-0.0398043394088745
612412916,-0.0398566164076328
612415687,-0.0400095582008362
612418036,-0.0401946045458317
612420537,-0.0403546318411827
612422914,-0.0403120741248131
612425698,-0.0402518659830093
612428004,-0.0402289107441902
612430582,-0.0402076095342636
612432915,-0.0403985716402531
612435500,-0.0403736159205437
612438055,-0.0403861962258816
612440455,-0.0403632819652557
612800518,-0.0395629964768887
612802987,-0.0395943000912666
612805672,-0.0396135710179806
612808078,-0.0395757853984833
612810481,-0.0397769473493099
612813017,-0.0399380959570408
612815706,-0.0401165336370468
612818173,-0.0400979556143284
612840517,-0.0405558049678802
612842974,-0.0405372306704521
612845722,-0.0405783578753471
612848005,-0.0405956916511059
612850550,-0.0406101308763027
612862990,-0.0408568978309631
612865761,-0.040883082896471
612868004,-0.0409042797982693
612880574,-0.0409420356154442
612883001,-0.040898010134697
612885768,-0.0406486093997955
612887984,-0.0405305922031403
612900668,-0.0405778139829636
612903040,-0.0405602678656578
612905780,-0.0405331924557686
612911070,-0.0405467934906483
612911349,-0.0404578931629658
612913048,-0.0404985398054123
612915559,-0.0406890548765659
612918007,-0.0407837890088558
612940660,-0.0408271998167038
612943089,-0.0407631061971188
612945536,-0.0409222580492496
612948013,-0.0409788638353348
612950665,-0.0410465858876705
612957983,-0.0408841297030449
612960666,-0.0407979227602482
612963101,-0.0408487617969513
612965604,-0.0409625843167305
612967987,-0.0410831160843372
612980709,-0.04118437692523
612983154,-0.0412968806922436
612985622,-0.0413733534514904
612987984,-0.0413727313280106
612990715,-0.0413166508078575
613013234,-0.0413010492920876
613015597,-0.0413507781922817
613017980,-0.041435468941927
613020690,-0.0414741151034832
613022904,-0.0414317436516285
613025597,-0.0413585603237152
613027976,-0.0412577502429485
613030668,-0.0412168018519878
613040672,-0.0413099527359009
613043277,-0.0413149856030941
613045520,-0.0412859879434109
613060711,-0.0413246415555477
613062955,-0.0413767099380493
613065537,-0.0413591526448727
613067995,-0.0414568930864334
613080471,-0.0415986068546772
613082933,-0.0417169705033302
613100479,-0.0423649288713932
613102922,-0.0424079895019531
613105580,-0.0423404946923256
613108029,-0.0424079447984695
613117969,-0.0425773486495018
613120489,-0.0427451580762863
613122924,-0.0426814891397953
613125658,-0.0426123775541782
613128210,-0.0426621772348881
613157977,-0.0427453219890594
613160522,-0.0427328497171402
613162927,-0.040755782276392
613165589,-0.0407213345170021
613180471,-0.0406533479690552
613182918,-0.0406092405319214
613185580,-0.04068972915411
613187996,-0.0407719202339649
613190621,-0.0407995693385601
613200536,-0.0407325103878975
613202901,-0.0406953878700733
613205581,-0.0408086068928242
613208029,-0.0407880321145058
613210478,-0.0407846793532372
613212953,-0.0408357121050358
613215580,-0.0409148409962654
613217968,-0.0410049259662628
613240487,-0.041375957429409
613242995,-0.0414185263216496
613245525,-0.0415651090443134
613247998,-0.0417334884405136
613262916,-0.0416634976863861
613265606,-0.0417285598814487
613268001,-0.0417902022600174
613280469,-0.0418369434773922
613283011,-0.0418843999505043
613285581,-0.0419619791209698
613297985,-0.0423011407256126
613300488,-0.0423144809901714
613310442,-0.0424544885754585
613312942,-0.0425097420811653
613340498,-0.0425219088792801
613342997,-0.0425726398825645
613345588,-0.0424530766904354
613362937,-0.0424963645637035
613365535,-0.0425472632050514
613377996,-0.0400956384837627
613380445,-0.0400845184922218
613382992,-0.0400093644857407
613400483,-0.0399750061333179
613402927,-0.0399848632514477
613405611,-0.0399456955492496
613410497,-0.0399043411016464
613412963,-0.0398879162967205
613415524,-0.0398236364126205
613418035,-0.0397634021937847
613420449,-0.0398640781641006
613440469,-0.0404581017792225
613442967,-0.0405864715576172
613445530,-0.0405655466020107
613448031,-0.0405270047485828
613450469,-0.0405018553137779
613460692,-0.040267962962389
613462903,-0.0402535498142242
613465522,-0.0401710607111454
613467996,-0.0401393100619316
613480468,-0.0398964881896973
613482933,-0.0397953540086746
613485600,-0.0397563092410564
613487997,-0.039742287248373
613490616,-0.0399085506796837
613502906,-0.0402086675167084
613505522,-0.0401800498366356
613508094,-0.0402219034731388
613510450,-0.0403289832174778
613512962,-0.0404449887573719
613515523,-0.040487352758646
613538105,-0.0406235903501511
613540478,-0.0406307503581047
613543001,-0.0406931787729263
613545582,-0.0407314337790012
613548035,-0.0382846184074879
613560542,-0.0384466350078583
613562907,-0.0385541431605816
613565530,-0.0386036746203899
613567995,-0.0385883003473282
613570481,-0.0385948196053505
613580476,-0.0388699509203434
613582970,-0.0389118045568466
613585696,-0.0390190295875072
613600468,-0.0390859618782997
613602904,-0.0389867015182972
613605523,-0.0389446876943111
613612938,-0.0390821471810341
613615528,-0.0391457006335258
613618017,-0.0391651280224323
613620474,-0.0392036214470863
613640470,-0.0396276265382767
613642999,-0.0396369397640228
613645606,-0.0396340228617191
613647997,-0.0396570041775703
613650470,-0.0397147126495838
613652906,-0.0397321656346321
613660540,-0.0395556204020977
613662903,-0.0395707525312901
613680470,-0.0393010824918747
613682939,-0.0393863208591938
613685543,-0.0393774472177029
613688178,-0.0392566584050655
613700478,-0.0397513620555401
613702903,-0.0398565568029881
613705606,-0.0398944914340973
613708262,-0.0399768576025963
613710467,-0.0400428734719753
613712937,-0.0401174239814281
613715528,-0.0402377583086491
613740476,-0.0410494543612003
613742952,-0.0410143882036209
613745582,-0.0410625077784061
613762905,-0.0381916202604771
613765742,-0.0382899604737759
613767974,-0.0383634082973003
613780475,-0.0382063686847687
613782945,-0.0382152050733566
613800471,-0.0381295271217823
613802905,-0.0382076129317284
613805525,-0.0382326692342758
613808102,-0.0383598357439041
613810469,-0.0384054072201252
613812905,-0.0385572127997875
613815578,-0.0387149564921856
613840496,-0.0387043096125126
613842943,-0.0385939106345177
613845597,-0.0385369956493378
613858199,-0.0383281074464321
613860540,-0.0382691510021687
613862906,-0.0384094603359699
613865732,-0.0383790247142315
613880479,-0.0388187989592552
613882964,-0.0388646647334099
613885593,-0.0390560515224934
613887973,-0.0391718782484531
613890583,-0.0391575247049332
613900470,-0.0391216240823269
613902907,-0.0391225516796112
613905531,-0.0391872450709343
613912905,-0.0391521751880646
613940476,-0.0391672775149345
613943043,-0.0393097139894962
613945589,-0.0393960252404213
613957989,-0.0369725227355957
613960555,-0.0369436293840408
613962879,-0.0369961783289909
613980484,-0.03685337677598
613982947,-0.0367291234433651
613985579,-0.0366549082100391
613997974,-0.0368897058069706
614000529,-0.0368432439863682
614002905,-0.0369436480104923
614005533,-0.0370654501020908
614008103,-0.037157941609621
614010545,-0.0372567288577557
614012933,-0.037272721529007
614040466,-0.0379445031285286
614042968,-0.0379388630390167
614045533,-0.0379197783768177
614062927,-0.0377496145665646
614065534,-0.0377734079957008
