Time,vcu.INS.ay
611850490,0.0437769331037998
611855678,-0.0017567325849086
611858008,-0.0146511243656278
611922982,0.0102018397301435
611935538,0.0130755482241511
611943085,0.00132174009922892
611962951,0.00959745701402426
611965628,0.0258124135434628
611972957,-0.0186805296689272
611982961,0.00224462081678212
611985535,0.00268865516409278
611990687,-0.0129738943651319
611992965,-0.0117827178910375
612295548,-0.00714296102523804
612298204,-0.019182775169611
612300504,-0.00460316753014922
612302944,0.00155023043043911
612305540,0.00850487127900124
612311049,0.0060292836278677
612311413,0.00392386643216014
612312957,-0.0201843474060297
612315533,-0.0568769611418247
612318007,-0.0385077521204948
612320502,-0.0095933685079217
612322917,-0.000205075324629433
612325654,0.00162064121104777
612328002,-0.00177465879824013
612330518,-0.0151296621188521
612332889,-0.0153406728059053
612335616,0.00625987397506833
612338028,0.0193488579243422
612340482,0.014138812199235
612342973,0.00295692076906562
612345590,-0.000111113644379657
612348044,0.0136874029412866
612350521,0.00931038614362478
612352993,-8.23556911200285E-06
612355704,0.0106985736638308
612358053,0.0201696250587702
612360732,0.0168441329151392
612362967,0.0022799544967711
612365600,-0.00442259851843119
612367963,0.00658984994515777
612370459,0.0182403456419706
612373033,0.0247928313910961
612375600,0.0480078049004078
612378009,0.0472033694386482
612380480,0.0215466022491455
612382954,0.00672484422102571
612385583,0.00847193319350481
612388009,0.0191972926259041
612390666,0.0224597919732332
612392922,0.0221338458359241
612395600,0.0185896921902895
612398005,0.0197635442018509
612400509,0.00710049644112587
612402914,-0.0123894000425935
612405641,-0.00943155959248543
612408154,-0.00181507784873247
612410494,0.0041504162363708
612412916,-0.0023576240055263
612415687,-0.0348454639315605
612418036,-0.0275087859481573
612420537,0.00231741671450436
612422914,0.00967264175415039
612425698,0.00775188580155373
612428004,0.00831021461635828
612430582,-0.00206772051751614
612432915,-0.0159535184502602
612435500,-0.0176366064697504
612438055,-0.0136953974142671
612440455,-0.00369965215213597
612800518,0.0200159382075071
612802987,0.00802251696586609
612805672,0.00834602396935225
612808078,-0.0116900093853474
612810481,-0.032310739159584
612813017,-0.0174049213528633
612815706,0.0021035922691226
612818173,0.000886663910932839
612840517,0.00820147432386875
612842974,0.00354864983819425
612845722,0.00438141170889139
612848005,0.008362484164536
612850550,0.00967702828347683
612862990,0.0013459490146488
612865761,-0.0140693252906203
612868004,-0.00400484539568424
612880574,-0.0126820662990212
612883001,-0.0254159942269325
612885768,-0.00178727903403342
612887984,0.0155140189453959
612900668,-0.0252700205892324
612903040,-0.0126180620864034
612905780,-0.0120545364916325
612911070,-0.00581060908734798
612911349,0.00731992162764072
612913048,0.00485445093363523
612915559,-0.00665179314091802
612918007,-0.0103529980406165
612940660,0.00211355136707425
612943089,-0.00554288504645228
612945536,-0.0160247460007668
612948013,-0.0185953807085752
612950665,-0.00369024160318077
612957983,0.0145927723497152
612960666,-0.00349780055694282
612963101,-0.00876760855317116
612965604,-0.00388279045000672
612967987,0.0206174720078707
612980709,-0.00583587773144245
612983154,0.0102658104151487
