Time,vcu.INS.yaw_rate
611850490,0.000737357884645462
611855678,0.00112632662057877
611858008,-0.000609572976827621
611922982,0.000876814126968384
611935538,0.00116090849041939
611943085,0.000315513461828232
611962951,0.000692840665578842
611965628,0.00046125054359436
611972957,-1.98334455490112E-05
611982961,0.00176028534770012
611985535,0.000764958560466766
611990687,-1.17234885692596E-05
611992965,0.000102370977401733
612295548,0.000195641070604324
612298204,0.000525753945112228
612300504,0.00098777562379837
612302944,0.000377535820007324
612305540,0.000566683709621429
612311049,-0.000271495431661606
612311413,0.000874821096658707
612312957,-0.000612784177064896
612315533,-0.000143557786941528
612318007,0.000131629407405853
612320502,0.000836081802845001
612322917,0.00110248848795891
612325654,0.000345069915056229
612328002,0.000211883336305618
612330518,0.00126878172159195
612332889,0.000808101147413254
612335616,-0.000337027013301849
612338028,0.000293117016553879
612340482,0.000964220613241196
612342973,0.000288259238004684
612345590,0.00034940242767334
612348044,0.000696457922458649
612350521,0.000324413180351257
612352993,-5.68442046642303E-05
612355704,9.05729830265045E-05
612358053,0.00116562098264694
612360732,0.000841155648231506
612362967,-0.000229276716709137
612365600,-0.000409845262765884
612367963,0.000130452215671539
612370459,-0.000177383422851563
612373033,-0.000491715967655182
612375600,6.84373080730438E-05
612378009,0.00105852261185646
612380480,0.0019511878490448
612382954,0.000744767487049103
612385583,0.00021589919924736
612388009,0.000989440828561783
612390666,0.000921241939067841
612392922,-5.66504895687103E-05
612395600,-0.000834565609693527
612398005,-0.000893741846084595
612400509,-0.000284157693386078
612402914,-0.000189699232578278
612405641,-0.000239044427871704
612408154,-0.000654865056276321
612410494,-0.000628449022769928
612412916,0.00115463882684708
612415687,0.00131427869200706
612418036,0.000302426517009735
612420537,-0.000829465687274933
612422914,-0.000920377671718597
612425698,0.00028306245803833
612428004,0.000817824155092239
612430582,0.00108182057738304
612432915,0.00158609822392464
612435500,0.00111247599124908
612438055,0.000462893396615982
612440455,0.000399794429540634
612800518,0.000828295946121216
612802987,0.00160050019621849
612805672,0.00143327936530113
612808078,0.000377122312784195
612810481,0.000150647014379501
612813017,0.000128533691167831
612815706,-0.000642985105514526
612818173,-0.000677924603223801
612840517,0.000450026243925095
612842974,0.00053555890917778
612845722,0.000704992562532425
612848005,0.000112023204565048
612850550,-0.000432234257459641
612862990,0.00052361935377121
612865761,0.000190418213605881
612868004,0.000429131090641022
612880574,0.00076274573802948
612883001,0.000285990536212921
612885768,0.000518731772899628
612887984,0.000356413424015045
612900668,0.000598032027482986
612903040,0.000126510858535767
612905780,-0.000187806785106659
612911070,0.000365152955055237
612911349,0.000804446637630463
612913048,0.000392679125070572
612915559,0.000535264611244202
612918007,0.000807881355285645
612940660,0.00137516483664513
612943089,0.00175950676202774
612945536,0.000887326896190643
612948013,0.000143904238939285
612950665,0.000460829585790634
612957983,0.000104572623968124
612960666,0.000173609703779221
612963101,0.000902533531188965
612965604,0.00104673951864243
612967987,0.000821448862552643
612980709,-0.000234104692935944
612983154,-0.000577013939619064
612985622,0.000326715409755707
612987984,0.000737488269805908
612990715,0.000420909374952316
613013234,0.00110339745879173
613015597,0.00146905705332756
613017980,0.00109054148197174
613020690,0.000643998384475708
613022904,0.000360727310180664
613025597,0.000908929854631424
613027976,0.00144416838884354
613030668,0.000985633581876755
613040672,0.00186421349644661
613043277,0.000386592000722885
613045520,0.000821810215711594
613060711,0.000365640968084335
613062955,-0.000350400805473328
613065537,-0.000427871942520142
613067995,0.000726625323295593
613080471,0.000691354274749756
613082933,0.000952646136283875
613100479,0.000126209110021591
613102922,2.17966735363007E-05
613105580,0.000273946672677994
613108029,0.000867150723934174
613117969,0.000669587403535843
613120489,1.77361071109772E-05
613122924,-0.00107788294553757
613125658,-0.00154755264520645
613128210,-0.000756394118070602
613157977,-0.00122855231165886
613160522,-0.000125404447317123
613162927,0.000747952610254288
613165589,-0.000404268503189087
613180471,0.000852152705192566
613182918,0.000545419752597809
613185580,0.000484302639961243
613187996,0.000164560973644257
613190621,0.000490080565214157
613200536,0.000991962850093842
613202901,0.000730182975530624
613205581,0.00068998709321022
613208029,0.000986121594905853
613210478,0.000721000134944916
613212953,0.000372137874364853
613215580,0.000724717974662781
613217968,0.000789381563663483
613240487,-0.000194236636161804
613242995,-0.000196915119886398
613245525,0.00063854455947876
613247998,-0.000184066593647003
613262916,0.00122054666280746
613265606,0.000175587832927704
613268001,0.000511296093463898
613280469,0.000321760773658752
613283011,0.000861510634422302
613285581,0.00138410180807114
613297985,0.000601287931203842
613300488,-7.71433115005493E-05
613310442,0.000212661921977997
613312942,2.86176800727844E-05
613340498,0.0011107325553894
613342997,0.000924833118915558
613345588,0.000112149864435196
613362937,-0.000197287648916245
613365535,-0.000932402908802032
613377996,0.000957481563091278
613380445,0.00132084637880325
613382992,0.000865701586008072
613400483,-0.000334165990352631
613402927,-3.48277390003204E-05
613405611,-0.000284347683191299
613410497,-0.000181019306182861
613412963,-0.000656027346849442
613415524,-0.000252906233072281
613418035,0.000199276953935623
613420449,-0.000233303755521774
613440469,0.000867556780576706
613442967,0.00134338811039925
613445530,0.00107407569885254
613448031,0.000916440039873123
613450469,0.000441204756498337
613460692,0.00123852491378784
613462903,0.00175252184271812
613465522,0.000286303460597992
613467996,-0.00062955915927887
613480468,-0.000104192644357681
613482933,-0.000318728387355804
613485600,0.00016440823674202
613487997,0.00124260038137436
613490616,0.000256970524787903
613502906,0.000534888356924057
613505522,0.000813324004411697
613508094,0.000919543206691742
613510450,-0.000106774270534515
613512962,-5.48474490642548E-05
613515523,0.00042116641998291
