Time,vcu.INS.vx
611850490,-0.0177577547729015
611855678,-0.0178517885506153
611858008,-0.0178527161478996
611922982,-0.0177431367337704
611935538,-0.017488082870841
611943085,-0.0175116304308176
611962951,-0.0163615606725216
611965628,-0.0163622479885817
611972957,-0.0164462421089411
611982961,-0.0164056029170752
611985535,-0.0164653342217207
611990687,-0.0167157482355833
611992965,-0.0167501121759415
612295548,-0.0173177365213633
612298204,-0.0173238292336464
612300504,-0.0172527953982353
612302944,-0.0171829033643007
612305540,-0.0171868056058884
612311049,-0.0171255972236395
612311413,-0.0171393062919378
612312957,-0.0171901118010283
612315533,-0.0171878971159458
612318007,-0.0171885471791029
612320502,-0.01715437322855
612322917,-0.0170767102390528
612325654,-0.0170668233186007
612328002,-0.0170666091144085
612330518,-0.0171665232628584
612332889,-0.0171659346669912
612335616,-0.0172512661665678
612338028,-0.017158180475235
612340482,-0.0171924419701099
612342973,-0.0171356610953808
612345590,-0.0172844156622887
612348044,-0.017333947122097
612350521,-0.0173981674015522
612352993,-0.0174164734780788
612355704,-0.0174294412136078
612358053,-0.017379155382514
612360732,-0.0173678807914257
612362967,-0.0175266619771719
612365600,-0.017616081982851
612367963,-0.0176189914345741
612370459,-0.0175907351076603
612373033,-0.0154580483213067
612375600,-0.0154865654185414
612378009,-0.0154681485146284
612380480,-0.0156693123281002
612382954,-0.0157177038490772
612385583,-0.015758203342557
612388009,-0.0157642848789692
612390666,-0.015875481069088
612392922,-0.015878077596426
612395600,-0.0159123986959457
612398005,-0.0158721897751093
612400509,-0.015991622582078
612402914,-0.0159859396517277
612405641,-0.0160721559077501
612408154,-0.0160352904349566
612410494,-0.0160080082714558
612412916,-0.0160427056252956
612415687,-0.0160815455019474
612418036,-0.0161032248288393
612420537,-0.0160347204655409
612422914,-0.0159953348338604
612425698,-0.015974497422576
612428004,-0.0159835498780012
612430582,-0.0160036254674196
612432915,-0.0159938242286444
612435500,-0.016033947467804
612438055,-0.0160016510635614
612440455,-0.015953442081809
612800518,-0.0122009050101042
612802987,-0.0121330339461565
612805672,-0.0120804235339165
612808078,-0.0120186703279614
612810481,-0.0119783114641905
612813017,-0.0120039414614439
612815706,-0.0119778383523226
612818173,-0.0119571974501014
612840517,-0.0120983431115747
612842974,-0.0121435420587659
612845722,-0.012209271080792
612848005,-0.0122465034946799
612850550,-0.0123329870402813
612862990,-0.0126682026311755
612865761,-0.0127589339390397
612868004,-0.0127974385395646
612880574,-0.0129648866131902
612883001,-0.0129123423248529
612885768,-0.0129295364022255
612887984,-0.0128419613465667
612900668,-0.012679286301136
612903040,-0.0126618966460228
612905780,-0.0126241743564606
612911070,-0.0126448040828109
612911349,-0.0126971993595362
612913048,-0.0126740168780088
612915559,-0.012714390642941
612918007,-0.0126715311780572
612940660,-0.0126688033342361
612943089,-0.0126558635383844
612945536,-0.012676989659667
612948013,-0.0127034559845924
612950665,-0.0126389311626554
612957983,-0.0116045139729977
612960666,-0.011636353097856
612963101,-0.0116496020928025
612965604,-0.011691159568727
612967987,-0.01169244479388
612980709,-0.0115995528176427
612983154,-0.0115486672148108
612985622,-0.0116151757538319
612987984,-0.0116058383136988
612990715,-0.0115790143609047
613013234,-0.0118205370381474
613015597,-0.0118827251717448
613017980,-0.0119648221880198
613020690,-0.011924141086638
613022904,-0.0119338156655431
613025597,-0.0119574535638094
613027976,-0.0119779305532575
613030668,-0.0120515897870064
613040672,-0.0121020264923573
613043277,-0.0121087860316038
613045520,-0.0121456440538168
613060711,-0.0122920349240303
613062955,-0.0123082688078284
613065537,-0.0123020811006427
613067995,-0.0123533336445689
613080471,-0.0123346075415611
613082933,-0.0123589215800166
613100479,-0.0124900415539742
613102922,-0.0124937072396278
613105580,-0.0124476980417967
613108029,-0.0123873827978969
613117969,-0.0123097961768508
613120489,-0.0122634591534734
613122924,-0.0122388200834394
613125658,-0.0122095197439194
