Time,vcu.INS.ax
611850490,0.0129471039399505
611855678,-0.00797580741345882
611858008,-0.00187383347656578
611922982,0.0220398455858231
611935538,0.0147414989769459
611943085,0.00152522139251232
611962951,0.0244130622595549
611965628,0.0128190144896507
611972957,-0.0149197913706303
611982961,0.000472357147373259
611985535,-0.0139896105974913
611990687,-0.0466716066002846
611992965,-0.0264556799083948
612295548,-0.0307125318795443
612298204,-0.0107404887676239
612300504,0.0142777990549803
612302944,0.0294196233153343
612305540,0.0155043276026845
612311049,0.0168482717126608
612311413,0.0110512226819992
612312957,-0.00551062915474176
612315533,-0.00830916967242956
612318007,0.00452770758420229
612320502,0.000366420048521832
612322917,0.0159908905625343
612325654,0.0188155584037304
612328002,0.00333156459964812
612330518,-0.0166149362921715
612332889,-0.0164895672351122
612335616,-0.0167773719877005
612338028,0.00167861650697887
612340482,0.0153444372117519
612342973,0.00803379062563181
612345590,-0.0130263064056635
612348044,-0.0342975370585918
612350521,-0.0200328901410103
612352993,-0.013779635541141
612355704,-0.00209179054945707
612358053,0.011593765579164
612360732,0.0123109957203269
612362967,-0.024809867143631
612365600,-0.0390583761036396
612367963,-0.0125743830576539
612370459,0.00508151249960065
612373033,0.00541510246694088
612375600,-0.000258392014075071
612378009,0.0036703459918499
612380480,-0.0261761732399464
612382954,-0.0395210944116116
612385583,-0.0119309667497873
612388009,-0.00351252825930715
612390666,-0.0194980651140213
612392922,-0.0187900885939598
612395600,-0.00119880610145628
612398005,0.00736312894150615
612400509,-0.010001971386373
612402914,-0.0169293954968452
612405641,-0.0123017299920321
612408154,-0.00606602802872658
612410494,0.0139417890459299
612412916,-0.000391880515962839
612415687,-0.0110043557360768
612418036,-0.00836641807109118
612420537,0.00639652833342552
612422914,0.0186029709875584
612425698,0.0152238328009844
612428004,0.00552196893841028
612430582,-0.00147027964703739
612432915,0.00231699086725712
612435500,-0.00352063355967402
612438055,0.00098224135581404
612440455,0.0159159731119871
612800518,0.00283068465068936
612802987,0.0156959518790245
612805672,0.0296508576720953
612808078,0.0284413285553455
612810481,0.0244693495333195
612813017,0.00702626258134842
612815706,-0.00252548255957663
612818173,0.00677440315485001
612840517,-0.0112400501966476
612842974,-0.0216920506209135
612845722,-0.018985440954566
612848005,-0.017421942204237
612850550,-0.0222116038203239
612862990,-0.0334074571728706
612865761,-0.0271783545613289
612868004,-0.020874097943306
612880574,-0.00566879473626614
612883001,0.0147498976439238
612885768,0.00749532785266638
612887984,0.0144851803779602
612900668,0.0218103881925344
612903040,0.0163243617862463
612905780,0.00969595368951559
612911070,0.00214000954292715
612911349,-0.0139672625809908
612913048,-0.0051774624735117
612915559,-5.46384835615754E-05
612918007,0.00387074239552021
612940660,-0.000657620839774609
612943089,0.00111986929550767
612945536,0.00109217781573534
612948013,-0.006777698174119
612950665,0.00760324019938707
612957983,0.0230496264994144
612960666,0.0114538688212633
612963101,-0.00300921685993671
612965604,-0.00914323795586824
612967987,-0.00672078877687454
612980709,5.91994030401111E-05
612983154,0.00595425395295024
612985622,-0.00205996748991311
612987984,-0.0103726228699088
612990715,0.0102138230577111
613013234,-0.00819385796785355
613015597,-0.0310568567365408
613017980,-0.023679081350565
613020690,-0.00577985867857933
613022904,0.00869989767670631
613025597,-0.0024740353692323
613027976,-0.00463547371327877
613030668,-0.0154123110696673
613040672,-0.000394311151467264
613043277,-0.00942884013056755
613045520,-0.00698497006669641
613060711,-0.0163926091045141
613062955,-0.00116037460975349
613065537,-0.000935460964683443
613067995,-0.00796277355402708
613080471,-0.00524325855076313
613082933,-0.0169822573661804
613100479,0.00801541469991207
613102922,0.00233724620193243
613105580,0.00919196009635925
613108029,0.0220031514763832
613117969,-0.00178683933336288
613120489,0.0101239988580346
613122924,0.0196946617215872
613125658,0.0121669713407755
613128210,-0.00283478130586445
613157977,0.0119148548692465
613160522,-0.00880586542189121
613162927,-0.0115979611873627
613165589,-0.0224091690033674
613180471,-0.0222239214926958
613182918,-0.040322944521904
613185580,-0.0406705811619759
613187996,-0.0247882138937712
613190621,-0.00360192381776869
613200536,2.81838438240811E-05
613202901,-0.00813270546495914
613205581,-0.0241972263902426
613208029,-0.0250113774091005
613210478,-0.0171680171042681
613212953,0.00787913985550404
613215580,-0.00302439834922552
613217968,-0.0161960776895285
613240487,0.00254155322909355
613242995,0.00351024512201548
613245525,0.00924082938581705
613247998,0.00967856124043465
613262916,0.0105219725519419
613265606,-0.0051360372453928
613268001,-0.00628941133618355
613280469,-0.0122520672157407
613283011,-0.0078877042979002
613285581,-0.000338644545990974
613297985,0.0102577023208141
613300488,0.00861361715942621
613310442,-0.00577205838635564
613312942,0.0121631063520908
613340498,-0.00871904846280813
613342997,0.00353152211755514
613345588,0.0195684134960175
613362937,-0.0192331112921238
613365535,-0.01415447704494
613377996,-0.048778235912323
613380445,-0.0326944924890995
613382992,-0.0145177692174912
613400483,-0.0052643190138042
613402927,-0.00657747779041529
613405611,-0.00397248612716794
613410497,-0.0128914453089237
613412963,-0.00304129673168063
613415524,-0.0138135692104697
