Time,vcu.INS.roll
611850490,-0.628527343273163
611855678,-0.627963423728943
611858008,-0.62798011302948
611922982,-0.628729522228241
611935538,-0.628206133842468
611943085,-0.628068864345551
611962951,-0.628071069717407
611965628,-0.628103613853455
611972957,-0.627877533435822
611982961,-0.627920091152191
611985535,-0.628027319908142
611990687,-0.627906441688538
611992965,-0.627691984176636
612295548,-0.626368701457977
612298204,-0.626492619514465
612300504,-0.626679956912994
612302944,-0.626679182052612
612305540,-0.6267449259758
612311049,-0.626597046852112
612311413,-0.626750111579895
612312957,-0.626356184482574
612315533,-0.626231491565704
612318007,-0.626220107078552
612320502,-0.627552151679993
612322917,-0.627580463886261
612325654,-0.627851843833923
612328002,-0.627851843833923
612330518,-0.627619206905365
612332889,-0.627378106117249
612335616,-0.627544462680817
612338028,-0.627506852149963
612340482,-0.627336859703064
612342973,-0.627336859703064
612345590,-0.627007484436035
612348044,-0.627141237258911
612350521,-0.627107679843903
612352993,-0.626908957958221
612355704,-0.626857101917267
612358053,-0.626615226268768
612360732,-0.626751959323883
612362967,-0.626674652099609
612365600,-0.626449227333069
612367963,-0.626234650611877
612370459,-0.62608140707016
612373033,-0.626140773296356
612375600,-0.626008093357086
612378009,-0.626267910003662
612380480,-0.625931918621063
612382954,-0.625729262828827
612385583,-0.625450849533081
612388009,-0.6253781914711
612390666,-0.625170648097992
612392922,-0.625392556190491
612395600,-0.625402271747589
612398005,-0.625441253185272
612400509,-0.625101268291473
612402914,-0.625056505203247
612405641,-0.624979674816132
612408154,-0.62492823600769
612410494,-0.625385761260986
612412916,-0.625445127487183
612415687,-0.625480055809021
612418036,-0.625697612762451
612420537,-0.62626051902771
612422914,-0.626272976398468
612425698,-0.62619948387146
612428004,-0.626361906528473
612430582,-0.626356422901154
612432915,-0.626413822174072
612435500,-0.626225173473358
612438055,-0.62632554769516
612440455,-0.626300513744354
612800518,-0.62653911113739
612802987,-0.62673956155777
612805672,-0.626517713069916
612808078,-0.626565635204315
612810481,-0.62623119354248
612813017,-0.626099526882172
612815706,-0.626574575901031
612818173,-0.626707911491394
612840517,-0.626368820667267
612842974,-0.626175105571747
612845722,-0.625869572162628
612848005,-0.625779390335083
612850550,-0.62565541267395
612862990,-0.624822974205017
612865761,-0.624460220336914
612868004,-0.624370217323303
612880574,-0.624090433120728
612883001,-0.624090433120728
612885768,-0.62430876493454
612887984,-0.624567210674286
612900668,-0.625036418437958
612903040,-0.625036418437958
612905780,-0.625689566135406
612911070,-0.625765323638916
612911349,-0.625889003276825
612913048,-0.625837385654449
612915559,-0.625830352306366
612918007,-0.62563693523407
612940660,-0.626081109046936
612943089,-0.626126170158386
612945536,-0.62601912021637
612948013,-0.625840902328491
612950665,-0.625882267951965
612957983,-0.626394629478455
612960666,-0.625954568386078
612963101,-0.625746190547943
612965604,-0.625814378261566
612967987,-0.62576687335968
612980709,-0.62520956993103
612983154,-0.624964654445648
612985622,-0.625296473503113
612987984,-0.625404238700867
612990715,-0.625320672988892
613013234,-0.626083672046661
613015597,-0.625865757465363
613017980,-0.625744342803955
613020690,-0.625383615493774
613022904,-0.625516414642334
613025597,-0.62541800737381
613027976,-0.625454008579254
613030668,-0.625183880329132
613040672,-0.625777423381805
613043277,-0.625851392745972
613045520,-0.625979542732239
613060711,-0.627035319805145
613062955,-0.626972615718842
613065537,-0.626885771751404
613067995,-0.626804888248444
613080471,-0.626850366592407
613082933,-0.626850366592407
613100479,-0.625429749488831
613102922,-0.625503599643707
613105580,-0.625916123390198
613108029,-0.625858902931213
613117969,-0.625372290611267
613120489,-0.625157356262207
613122924,-0.625213623046875
613125658,-0.625420749187469
613128210,-0.625312447547913
613157977,-0.625316202640533
613160522,-0.625417292118073
613162927,-0.625438034534454
613165589,-0.625330984592438
613180471,-0.626368641853333
613182918,-0.626279234886169
613185580,-0.626489162445068
613187996,-0.626412570476532
613190621,-0.626591622829437
613200536,-0.626297116279602
613202901,-0.626024663448334
613205581,-0.626443684101105
613208029,-0.626470804214478
613210478,-0.626376152038574
613212953,-0.62624990940094
613215580,-0.626096189022064
613217968,-0.626096189022064
613240487,-0.626133561134338
613242995,-0.626201748847961
613245525,-0.62591415643692
613247998,-0.626046478748322
613262916,-0.626690268516541
613265606,-0.627089262008667
613268001,-0.62729686498642
613280469,-0.627013921737671
613283011,-0.626991629600525
613285581,-0.627024471759796
613297985,-0.627486228942871
613300488,-0.627451777458191
613310442,-0.628322005271912
613312942,-0.628147721290588
613340498,-0.628200232982636
613342997,-0.628308534622192
613345588,-0.62857574224472
613362937,-0.62903904914856
613365535,-0.628908693790436
613377996,-0.62731546163559
613380445,-0.62750768661499
613382992,-0.627385675907135
613400483,-0.626365423202515
613402927,-0.626456141471863
613405611,-0.626118719577789
613410497,-0.625821471214294
613412963,-0.626003682613373
613415524,-0.625978291034698
613418035,-0.626028060913086
613420449,-0.625638246536255
613440469,-0.626210272312164
613442967,-0.626177966594696
613445530,-0.626196324825287
613448031,-0.626040160655975
613450469,-0.626063883304596
613460692,-0.626339435577393
613462903,-0.626446008682251
613465522,-0.626896023750305
613467996,-0.62669712305069
613480468,-0.627592861652374
613482933,-0.627626061439514
613485600,-0.627367079257965
613487997,-0.627380669116974
613490616,-0.627857983112335
613502906,-0.627773344516754
613505522,-0.627392649650574
613508094,-0.627431869506836
613510450,-0.627441167831421
613512962,-0.627142310142517
613515523,-0.62680858373642
613538105,-0.626012086868286
613540478,-0.625655889511108
613543001,-0.625655889511108
613545582,-0.62542587518692
613548035,-0.625242114067078
613560542,-0.624815881252289
613562907,-0.624685823917389
613565530,-0.62447065114975
613567995,-0.624648690223694
613570481,-0.624634087085724
613580476,-0.624260544776917
613582970,-0.624431729316711
613585696,-0.624612927436829
613600468,-0.624568104743958
613602904,-0.624636292457581
613605523,-0.624495565891266
613612938,-0.624664127826691
613615528,-0.62489527463913
613618017,-0.624934017658234
613620474,-0.625008523464203
613640470,-0.625567436218262
613642999,-0.625720918178558
613645606,-0.625739455223084
613647997,-0.625739455223084
613650470,-0.625681817531586
613652906,-0.625667273998261
613660540,-0.626059651374817
613662903,-0.626061320304871
613680470,-0.625975966453552
613682939,-0.625975966453552
613685543,-0.626046299934387
613688178,-0.625903904438019
613700478,-0.625828802585602
613702903,-0.625987529754639
613705606,-0.625924170017242
613708262,-0.625900030136108
613710467,-0.625781178474426
613712937,-0.625820338726044
613715528,-0.625748932361603
613740476,-0.625978112220764
613742952,-0.625978112220764
613745582,-0.626183748245239
613762905,-0.627013564109802
613765742,-0.627088010311127
613767974,-0.627234876155853
613780475,-0.627564072608948
613782945,-0.627637028694153
613800471,-0.627614378929138
613802905,-0.627696692943573
613805525,-0.627779603004456
613808102,-0.627841651439667
613810469,-0.627821445465088
613812905,-0.628039181232452
613815578,-0.628208756446838
613840496,-0.62794154882431
613842943,-0.627791285514832
613845597,-0.627718806266785
613858199,-0.627615690231323
613860540,-0.627665460109711
613862906,-0.627591133117676
613865732,-0.627593755722046
613880479,-0.628352165222168
613882964,-0.628352165222168
613885593,-0.628290057182312
613887973,-0.628268003463745
613890583,-0.628332078456879
